song_id,title,artist,dataset,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
6cj9goiARoOVvvj66qZmSf,Goin To The Run,Golden Earring,NH,0.467,0.587,7,-7.992,1,0.032,0.419,3.35e-06,0.284,0.181,124.171,audio_features,spotify:track:6cj9goiARoOVvvj66qZmSf,https://api.spotify.com/v1/tracks/6cj9goiARoOVvvj66qZmSf,https://api.spotify.com/v1/audio-analysis/6cj9goiARoOVvvj66qZmSf,236067,4
5tSW6dXbFIHUaVT5mImL2o,De Neus Umhoeg,Rowwen Hèze,NH,0.622,0.414,0,-14.121,1,0.0336,0.0723,0.00845,0.0972,0.51,132.137,audio_features,spotify:track:5tSW6dXbFIHUaVT5mImL2o,https://api.spotify.com/v1/tracks/5tSW6dXbFIHUaVT5mImL2o,https://api.spotify.com/v1/audio-analysis/5tSW6dXbFIHUaVT5mImL2o,214800,4
6bkeigTegPjXdQIZaZ6o6W,Solitary Man,Johnny Cash,NH,0.435,0.561,7,-6.947,0,0.0305,0.345,2.19e-06,0.249,0.699,85.594,audio_features,spotify:track:6bkeigTegPjXdQIZaZ6o6W,https://api.spotify.com/v1/tracks/6bkeigTegPjXdQIZaZ6o6W,https://api.spotify.com/v1/audio-analysis/6bkeigTegPjXdQIZaZ6o6W,143853,4
0OFLK8St1n4C9smb4s7CKX,Smoorverliefd,Doe Maar,NH,0.692,0.752,9,-9.551,0,0.0974,0.134,0.0,0.122,0.915,166.658,audio_features,spotify:track:0OFLK8St1n4C9smb4s7CKX,https://api.spotify.com/v1/tracks/0OFLK8St1n4C9smb4s7CKX,https://api.spotify.com/v1/audio-analysis/0OFLK8St1n4C9smb4s7CKX,197627,4
6b37xrsNCWYIUphFBazqD6,Me Gustas Tu,Manu Chao,NH,0.657,0.741,11,-6.822,0,0.0825,0.663,0.494,0.222,0.908,175.949,audio_features,spotify:track:6b37xrsNCWYIUphFBazqD6,https://api.spotify.com/v1/tracks/6b37xrsNCWYIUphFBazqD6,https://api.spotify.com/v1/audio-analysis/6b37xrsNCWYIUphFBazqD6,239987,4
6ZOBP3NvffbU4SZcrnt1k6,Kryptonite,3 Doors Down,NH,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,audio_features,spotify:track:6ZOBP3NvffbU4SZcrnt1k6,https://api.spotify.com/v1/tracks/6ZOBP3NvffbU4SZcrnt1k6,https://api.spotify.com/v1/audio-analysis/6ZOBP3NvffbU4SZcrnt1k6,233933,4
6Vz7vzOpCwKeSQlfViibuY,Crazy,Seal,NH,0.633,0.858,11,-7.42,0,0.0473,0.208,0.0112,0.0655,0.724,102.561,audio_features,spotify:track:6Vz7vzOpCwKeSQlfViibuY,https://api.spotify.com/v1/tracks/6Vz7vzOpCwKeSQlfViibuY,https://api.spotify.com/v1/audio-analysis/6Vz7vzOpCwKeSQlfViibuY,356520,4
6VD5vEK2wVfTG7q84pJ6EO,Family Portrait,P!nk,NH,0.65,0.685,0,-5.26,0,0.139,0.0272,3.56e-06,0.572,0.735,183.695,audio_features,spotify:track:6VD5vEK2wVfTG7q84pJ6EO,https://api.spotify.com/v1/tracks/6VD5vEK2wVfTG7q84pJ6EO,https://api.spotify.com/v1/audio-analysis/6VD5vEK2wVfTG7q84pJ6EO,296960,4
6B0g7kIHu1QNIKRo4a8DLW,In The Army Now,Status Quo,NH,0.497,0.604,9,-5.881,0,0.0337,0.0759,0.0,0.0791,0.851,209.259,audio_features,spotify:track:6B0g7kIHu1QNIKRo4a8DLW,https://api.spotify.com/v1/tracks/6B0g7kIHu1QNIKRo4a8DLW,https://api.spotify.com/v1/audio-analysis/6B0g7kIHu1QNIKRo4a8DLW,261973,4
6TMLUWtrSoTNFo7viirKh3,I Surrender,Saybia,NH,0.285,0.434,9,-7.014,1,0.0315,0.283,7.87e-05,0.0552,0.0663,135.828,audio_features,spotify:track:6TMLUWtrSoTNFo7viirKh3,https://api.spotify.com/v1/tracks/6TMLUWtrSoTNFo7viirKh3,https://api.spotify.com/v1/audio-analysis/6TMLUWtrSoTNFo7viirKh3,219000,4
